,Title,ID,Published,Views,Likes,Dislikes,Comments,Video_ID,Lenght,Seconds
226,Yoga For Back Pain | Strengthen & Stretch Your Way To A New Healthy Back,D1qdaQHsJV8,2020-05-01T03:19:54Z,683781,15156,166,246,D1qdaQHsJV8,0 days 00:15:38,938.0
227,Best Yoga For You | A Wonderful Yoga Class In Magical Tibet,cN8p_wzblzA,2020-05-01T03:19:54Z,317660,8953,85,318,cN8p_wzblzA,0 days 00:19:37,1177.0
228,15 MIN Power Yoga For Balance & Strength | Yoga To Energize Your Entire Being,ij6EE13eY-I,2021-02-08T15:43:15Z,135676,5411,49,204,ij6EE13eY-I,0 days 00:16:49,1009.0
232,Yoga For Beginners ♥ Easy Stretch & Stress Release | Playa Barrigona,koUi-AgsowQ,2020-05-01T03:31:58Z,1890426,25268,423,423,koUi-AgsowQ,0 days 00:16:00,960.0
233,Easy Yoga For Beginners & Recovery | Feel Good Yoga Stretch Release,6F0l9lVnKdQ,2020-05-20T14:52:41Z,296755,7824,49,207,6F0l9lVnKdQ,0 days 00:20:54,1254.0
236,Yoga For Tight Hips & Flexibility ♥ Mind- Body Release | Khmer Temple Ruins,eC_KukvZ_Co,2020-05-01T17:36:12Z,1283719,20135,361,654,eC_KukvZ_Co,0 days 00:18:51,1131.0
237,"Yoga For Your Back ♥ Strength, Recover,  & Tone | Cambodia",H6IsIWlSVkA,2020-05-01T17:36:12Z,1094452,15210,261,334,H6IsIWlSVkA,0 days 00:16:28,988.0
240,"Yoga For Leaner Legs ♥ Strength, Tone & Balance | Ubud Yoga",TR5eXrF6wIA,2020-05-01T17:36:45Z,689326,10382,157,332,TR5eXrF6wIA,0 days 00:19:11,1151.0
241,Best Yoga For All Levels ♥ Easy Peaceful Flow,lXWoGLS33CE,2020-05-01T17:37:36Z,612195,9670,83,242,lXWoGLS33CE,0 days 00:20:40,1240.0
242,Perfect Yoga For Everyone ♥ 20 Minute Relaxing Flow,vDMVqMWLZaI,2020-05-01T17:37:36Z,1222748,25225,268,622,vDMVqMWLZaI,0 days 00:22:09,1329.0
243,Advanced / Intermediate Yoga Flow ♥ Expand Your Practice,CiaD3jP0YhA,2020-05-01T17:37:36Z,1369028,25680,303,884,CiaD3jP0YhA,0 days 00:22:21,1341.0
244,Easy Yoga For Beginners | Full Body Gentle Flow,3_Q-yYfjeBM,2020-05-01T17:38:12Z,10234686,98526,2930,2475,3_Q-yYfjeBM,0 days 00:19:43,1183.0
245,Perfect Full Body Yoga ♥ Detox & Digestion Flow,MfYRSxAVBx4,2020-05-01T17:38:12Z,6256195,41548,2247,1071,MfYRSxAVBx4,0 days 00:20:02,1202.0
246,Yin Yoga Class ♥ Best Yoga For Slow Deep Muscle Release,ICanFGTsW8c,2020-05-01T17:38:12Z,2229878,28004,567,945,ICanFGTsW8c,0 days 00:21:15,1275.0
247,Best Yoga For The Heart ♥ Elephant Haven | Elephant Nature Park,UZ_xrAoi3vk,2020-05-01T17:38:12Z,446027,6490,91,245,UZ_xrAoi3vk,0 days 00:21:11,1271.0
252,10 Min Power Yoga Flow | Yoga To Blissfully Set Yourself & Your Day Up For Success,bGI-issML4c,2020-09-07T11:58:55Z,292060,8630,116,368,bGI-issML4c,0 days 00:14:46,886.0
255,BEST 10 Min Deep Yoga Stretch | Unbelievably Effective Yoga For Uncertain Times,xcMOYrdHrkE,2020-09-27T16:13:04Z,562875,13186,179,411,xcMOYrdHrkE,0 days 00:15:44,944.0
259,Relaxing Yoga For Peace ♥ Nama'stay In Bed,KDH9yvnYT0o,2020-05-01T03:17:40Z,1571226,17853,250,401,KDH9yvnYT0o,0 days 00:12:30,750.0
260,Peaceful Yoga | The Perfect Yoga Balance: Breath & Flexibility,oiPH-1sx39w,2020-05-01T03:17:40Z,884337,12222,164,373,oiPH-1sx39w,0 days 00:12:29,749.0
261,Stress Relief Yoga ♥ A Relaxed & Calming Flow To Clear Your Mind,7CTsdbf81W8,2020-05-01T03:17:40Z,3038259,41587,679,970,7CTsdbf81W8,0 days 00:12:52,772.0
262,Best Stretches For Hip Pain & Tightness | Sore Muscle Yoga Release,kSY-doiutzo,2020-05-01T17:53:44Z,742872,13567,290,422,kSY-doiutzo,0 days 00:12:52,772.0
263,Learn To Headstand & Elbow Stand Easily | Beginner Level To Impressive Yoga Variations,qeyWBFvKQSQ,2020-05-01T17:53:44Z,1338469,45270,344,681,qeyWBFvKQSQ,0 days 00:10:59,659.0
267,How To Do The Bird Of Paradise ♥ Yoga Pose Tutorial,fEmSoDWq0i4,2020-05-01T17:56:10Z,170716,2656,42,99,fEmSoDWq0i4,0 days 00:02:30,150.0
274,Yin Yoga Fusion  ♥ Best Yoga For Flexibility,-fac_iJ8Nw8,2018-10-01T19:29:44Z,2726495,28362,552,890,-fac_iJ8Nw8,0 days 00:25:55,1555.0
275,The Essential Yin Yoga Journey ♥ Let Go & Breathe,Hsn5kwQO5KA,2018-10-01T19:29:44Z,61859,950,11,25,Hsn5kwQO5KA,0 days 00:02:27,147.0
291,Boho Beautiful In 10 Days ♥ Mind & Body Yoga/Fitness Program,v28eJI46GgY,2018-10-01T19:06:56Z,169025,1146,21,93,v28eJI46GgY,0 days 00:02:57,177.0
293,Yoga To Tone & Detox Your Body | DETOXIFY SEVEN DAY PROGRAM,cYypKZw-heA,2019-10-14T18:48:29Z,43467,884,24,39,cYypKZw-heA,0 days 00:01:01,61.0
