,Title,ID,Published,Views,Likes,Dislikes,Comments,Video_ID,Lenght,Seconds
52,25 Min Morning Yoga  | Full Body Yoga Flow To Start Your Day Perfectly ➤ Yoga Day 1,vgVCD9kICH8,2021-01-01T13:20:28Z,444039.0,13401.0,100.0,574.0,vgVCD9kICH8,0 days 00:27:06,1626.0
53,Total Body Yoga Workout | 20 Minute Yoga To Lose Weight & Tone Your Body ➤ Day 2,TgdtlFCIq64,2021-01-02T13:21:51Z,328675.0,9825.0,51.0,302.0,TgdtlFCIq64,0 days 00:19:06,1146.0
54,25 Min Vinyasa Flow | Full Body Yoga To Feel Your Best  ➤ Day 3,rVO_qZT31O8,2021-01-03T11:43:27Z,280106.0,8112.0,41.0,259.0,rVO_qZT31O8,0 days 00:25:59,1559.0
55,25 Minute Yin Yoga Full Body Release & Recovery | The Breath Of Life ➤ Day 4,-u14ME3nMWA,2021-01-04T12:31:49Z,310617.0,8495.0,82.0,235.0,-u14ME3nMWA,0 days 00:25:52,1552.0
56,20 MIN Yoga Flow To Thrive & Feel Alive | Total Body Vinyasa Yoga ➤ Day 5,Vy_E0bJtry8,2021-01-05T12:34:20Z,210883.0,6519.0,35.0,261.0,Vy_E0bJtry8,0 days 00:23:45,1425.0
57,"20 Min Yoga For Strength, Flexibility, & Balance | Gracefully Find Your Centre ➤ Day 6",x39wJQ1BK-E,2021-01-06T12:27:16Z,187663.0,6462.0,29.0,271.0,x39wJQ1BK-E,0 days 00:22:37,1357.0
58,Best 20 Min Yoga Workout To Tone & Define Your Core | Abs & Yoga Fusion Class ➤ Day 7,A3-4ivzH2Zw,2021-01-07T12:54:33Z,210167.0,6356.0,65.0,296.0,A3-4ivzH2Zw,0 days 00:20:26,1226.0
59,25 Min Yin Yoga Vinyasa Fusion | Deep Release Ying Yang Yoga ➤ Day 8,2FUC8fazHx4,2021-01-08T13:03:59Z,179686.0,5742.0,39.0,235.0,2FUC8fazHx4,0 days 00:25:45,1545.0
60,Feel Good Yoga Flow For Necessary YOU TIME | 25 Min Morning Yoga ➤ Day 9,h5VIqFWCSCg,2021-01-09T13:07:10Z,218932.0,6799.0,40.0,223.0,h5VIqFWCSCg,0 days 00:24:59,1499.0
61,20 Min Gentle Yoga Class For All Levels | Relaxing Loving Awareness In Motion  ➤ Day 10,V_wG1mJbAzQ,2021-01-10T13:08:23Z,133215.0,4488.0,34.0,159.0,V_wG1mJbAzQ,0 days 00:22:41,1361.0
62,20 MIN Power Yoga Workout Flow | Strength & Flexibility To The Next Level ➤ Day 11,ShDTg6aef_w,2021-01-11T13:02:03Z,218909.0,6587.0,47.0,202.0,ShDTg6aef_w,0 days 00:22:35,1355.0
63,20 Min Wake Up Yoga | Best Morning Yoga Full Body Stretch ➤ Day 14,s1TNzh-go-M,2021-01-14T14:15:29Z,254981.0,7819.0,43.0,352.0,s1TNzh-go-M,0 days 00:22:47,1367.0
64,Guided Morning Meditation For Gratitude & A Perfect Day Ahead | Pure Loving Kindness,o_RTFyzB3vA,2021-01-15T13:07:51Z,134833.0,4276.0,64.0,274.0,o_RTFyzB3vA,0 days 00:16:13,973.0
65,10 MIN Guided Meditation To Clear Your Mind & Start New Positive Habits,uTN29kj7e-w,2021-01-04T15:41:24Z,408873.0,11631.0,134.0,362.0,uTN29kj7e-w,0 days 00:11:58,718.0
66,15 MIN Guided Meditation For Manifestation & Success | Feed Your Truth & Inner Fire,APvLO3uXLnE,2021-01-02T13:22:06Z,205900.0,6466.0,88.0,209.0,APvLO3uXLnE,0 days 00:14:26,866.0
67,10 MIN Guided Meditation For Anxiety & Fear | Create Your Own Reality,s41tJnY7ZbM,2021-01-03T11:44:04Z,145933.0,5006.0,44.0,204.0,s41tJnY7ZbM,0 days 00:11:49,709.0
68,15 MIN Guided Meditation For Peace & Forgiveness | Let Go All That No Longer Serves You,V6ihmni3jzc,2021-01-04T12:30:16Z,105543.0,3653.0,44.0,159.0,V6ihmni3jzc,0 days 00:14:40,880.0
69,"Best 10 Min Guided Meditation | Master Your Mind To Eliminate Stress, Fear, & Anxiety",goqqLfrXzhI,2021-01-05T12:27:53Z,172110.0,5025.0,41.0,147.0,goqqLfrXzhI,0 days 00:12:16,736.0
70,Best Morning Meditation | 15 Minutes To A Perfect Day,F1R8VRV7dhY,2021-01-06T12:21:33Z,166268.0,4562.0,72.0,146.0,F1R8VRV7dhY,0 days 00:15:29,929.0
71,Beautiful 10 MIN Guided Meditation For Uncertain & Difficult Times,sRVYz5s1F3s,2021-01-07T12:48:22Z,65256.0,2609.0,11.0,106.0,sRVYz5s1F3s,0 days 00:11:45,705.0
72,POWERFUL 15 Min Guided Meditation For Stress & Anxiety | Surrender To The Flow,JR02fcXyLQY,2021-01-08T12:45:14Z,108811.0,3511.0,28.0,219.0,JR02fcXyLQY,0 days 00:14:52,892.0
73,10 Min Meditation For Positive Energy | Manifest Love & Light,8zfQvchPkqQ,2021-01-09T13:14:02Z,150156.0,4722.0,47.0,178.0,8zfQvchPkqQ,0 days 00:12:03,723.0
74,Guided Meditation For Overcoming Fear & Shifting Reality | 15 Minutes Of Peace,DZ3Vc_72TJE,2021-01-10T13:15:59Z,98758.0,3147.0,24.0,171.0,DZ3Vc_72TJE,0 days 00:15:14,914.0
75,10 Min Guided Meditation For Deep Relaxation & Positivity,swjDIvuxFx4,2021-01-11T12:57:26Z,148051.0,4118.0,38.0,117.0,swjDIvuxFx4,0 days 00:12:09,729.0
76,Guided Meditation For A Peaceful Calm Mind To Raise Your Energetic Vibration,0bpYcXx7qTs,2021-01-12T12:50:42Z,129872.0,3585.0,40.0,119.0,0bpYcXx7qTs,0 days 00:16:08,968.0
77,"10 Min Guided Meditation For Calm, Peace, & Finding Happiness | Grace & Gratitude",TaqjzL4Fi6Y,2021-01-13T09:29:58Z,129598.0,4552.0,32.0,169.0,TaqjzL4Fi6Y,0 days 00:12:03,723.0
78,Manifestation Meditation | Incredibly POWERFUL To Accomplish Your Goals & Dreams,mF726pfBINI,2021-01-07T03:35:58Z,160118.0,4686.0,46.0,232.0,mF726pfBINI,0 days 00:15:05,905.0
79,60 Minute Yoga Class | All Level Stress & Anxiety Release Live Yoga,SHdwAsUtRBg,2020-08-15T04:15:20Z,410222.0,9748.0,133.0,366.0,SHdwAsUtRBg,0 days 01:03:36,3816.0
80,Feel Good Flow- 45 Min Yoga Class | Karma Yoga For Heart Connection  ❤,2b794DpXLJw,2020-08-15T04:16:14Z,277621.0,7250.0,71.0,293.0,2b794DpXLJw,0 days 00:54:59,3299.0
81,30 Min Full Body Yoga Class | Feel Good Yoga Flow - Live w/Juliana Spicoluk,nsOiSMk611w,2020-08-15T04:16:33Z,206681.0,6883.0,118.0,233.0,nsOiSMk611w,0 days 00:40:42,2442.0
